No.,회계년도,집행월,소관명,회계명,분야명,부문명,프로그램명,단위사업명,세부사업명,예산액,예산현액,당월지출금액,누계지출금액
"1","2023","202304","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","4,925,000,000","5,528,396,060","69,000,000","387,404,000"
"2","2023","202304","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","기본경비","위원회 기본경비","4,421,000,000","4,421,000,000","222,399,740","1,186,940,370"
"3","2023","202304","5·18민주화운동 진상규명조사위원회","일반회계","일반·지방행정","일반행정","518 진상규명조사위원회 운영","인건비","공무원 인건비","3,922,000,000","3,922,000,000","268,848,390","1,147,370,960"
"4","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","433,000,000","583,000,000","26,846,800","80,866,050"
"5","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","17,078,000,000","16,955,979,610","1,347,619,840","5,632,149,360"
"6","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","341,000,000","341,000,000","14,545,470","44,412,380"
"7","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","감사기구 역량강화(ODA)","297,000,000","297,000,000","1,175,200","4,240,000"
"8","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","822,000,000","901,804,000","187,799,540","499,359,010"
"9","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","13,450,000,000","13,430,196,000","1,128,181,810","4,431,766,550"
"10","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","수입대체경비","감사교육원 수입대체경비","376,000,000","376,000,000","36,865,040","90,462,450"
"11","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","인건비","인건비","92,533,000,000","92,533,000,000","7,010,722,390","29,651,012,900"
"12","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","전산운영경비","전산운영경비(정보화)","7,505,000,000","8,984,984,980","411,681,700","1,234,117,210"
"13","2023","202304","감사원","일반회계","일반·지방행정","일반행정","감사활동 및 행정지원","청사 및 시설물 관리","노후시설 개보수 및 업무시설 정비","4,546,000,000","4,546,000,000","68,490,300","893,441,510"
"14","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(개인정보정책국)","212,000,000","212,000,000","49,100,000","139,900,000"
"15","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(기관운영)","547,000,000","547,000,000","34,480,850","174,213,860"
"16","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(기획조정관)","389,000,000","389,000,000","3,000,000","136,000,000"
"17","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(대변인)","86,000,000","86,000,000","19,200,000","64,595,000"
"18","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(운영지원과)","162,000,000","162,000,000","26,546,650","85,566,650"
"19","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회기본경비(조사조정국)","223,000,000","223,000,000","16,000,000","105,736,690"
"20","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(개인정보정책국)","23,000,000","23,000,000","6,900,000","16,100,000"
"21","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(기관운영)","454,000,000","454,000,000","26,669,200","189,743,510"
"22","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(기획조정관)","32,000,000","32,000,000","8,450,000","18,900,000"
"23","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(대변인)","8,000,000","8,000,000","2,220,000","4,440,000"
"24","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(운영지원과)","10,000,000","10,000,000","1,180,000","6,420,000"
"25","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 기본경비","위원회총액기본경비(조사조정국)","69,000,000","69,000,000","15,220,000","32,470,000"
"26","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","일반행정","개인정보보호행정지원","개인정보보호위원회 인건비","위원회 인건비","13,988,000,000","13,988,000,000","1,034,450,470","4,446,476,210"
"27","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","개인정보보호 협력체계 구축","1,521,000,000","1,521,000,000","485,860,000","1,520,860,000"
"28","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","개인정보보호정책지원","6,108,000,000","6,108,000,000","470,000,000","4,257,700,000"
"29","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호강화","기술개발ㆍ전문인력 양성","1,530,000,000","1,530,000,000",0,"1,071,000,000"
"30","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호연구","개인정보기술표준개발지원(R&D)","1,500,000,000","1,500,000,000",0,"1,485,000,000"
"31","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호연구","개인정보보호강화기술연구개발(R&D)","5,995,000,000","5,995,000,000",0,"5,924,500,000"
"32","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호위원회 운영","위원회운영지원","3,019,000,000","3,019,000,000","206,715,880","779,348,010"
"33","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보보호위원회 운영","위원회정보화지원(정보화)","3,920,000,000","3,920,000,000","66,930,000","1,548,804,000"
"34","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보이슈대응","개인정보침해방지","10,939,000,000","10,939,000,000","4,000,000","5,330,400,000"
"35","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보활용지원","개인정보 전송요구권 보장","3,197,000,000","3,197,000,000",0,"2,504,000,000"
"36","2023","202304","개인정보보호위원회","일반회계","일반·지방행정","정부자원관리","개인정보보호","개인정보활용지원","안전한 데이터 활용 지원","4,992,000,000","4,992,000,000",0,"2,496,000,000"
"37","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","경찰병원기본경비","183,000,000","183,000,000","3,166,730","27,926,220"
"38","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","경찰병원기본경비","경찰병원기본경비(총액인건비)","2,733,000,000","2,733,000,000","186,413,660","995,358,830"
"39","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","경찰병원인건비","경찰병원인건비","43,182,000,000","43,182,000,000","4,461,102,410","14,565,007,110"
"40","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","자산취득","경찰병원자산취득","2,827,000,000","2,827,000,000","12,694,300","18,863,970"
"41","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","장례식장운영","장례식장운영","3,916,000,000","3,916,000,000","314,260,050","1,200,388,280"
"42","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","진료업무지원","국립경찰병원 건강보험부담금(손익)","1,481,000,000","1,481,000,000","135,379,280","410,448,030"
"43","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","진료업무지원","전산운영경비(정보화)","1,715,000,000","1,715,000,000","126,579,540","388,317,090"
"44","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","경찰병원운영","진료업무지원","진료업무운영관리","22,671,000,000","22,707,000,000","1,981,696,990","6,361,193,430"
"45","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","계정간거래(전출금)","감가상각비(경찰병원계정)","감가상각비","1,000,000","1,000,000",0,0
"46","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","계정간거래(전출금)","당기순이익(경찰병원계정)","당기순이익","1,000,000","1,000,000",0,0
"47","2023","202304","경찰청","경찰병원","공공질서및안전","경찰","회계기금간거래(공무원연금부담금)","공무원연금부담금(경찰병원)","공무원연금기금 전출(공무원연금부담금)","4,620,000,000","4,620,000,000","1,428,978,150","3,109,462,210"
"48","2023","202304","경찰청","국가균형발전특별회계","공공질서및안전","경찰","경찰행정지원","제주이관인력지원","제주자치경찰인력지원","4,767,000,000","4,767,000,000","709,726,850","2,838,907,400"
"49","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","감사·인권보호활동","감사관감찰활동","2,675,000,000","3,154,940,000","26,099,650","877,638,140"
"50","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","감사·인권보호활동","인권보호활동","468,000,000","468,000,000","4,854,300","191,477,840"
"51","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","경찰복지증진","경찰관서직장보육시설운영(민자)","15,563,000,000","15,563,000,000",0,"3,037,166,880"
"52","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","경찰복지증진","경찰복지증진","68,207,000,000","68,233,400,000","1,165,154,500","22,764,541,480"
"53","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","경찰복지증진","퇴직경찰관취업지원","2,312,000,000","2,312,000,000","967,000","1,065,008,700"
"54","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","대국민치안정책제공","경찰청홈페이지운영(정보화)","213,000,000","213,000,000","91,670","21,956,670"
"55","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","대국민치안정책제공","대국민소통강화","1,288,000,000","1,426,937,000","58,337,810","571,969,370"
"56","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","감사관기본경비","260,000,000","260,000,000",0,"158,870,000"
"57","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","감사관기본경비(총액인건비)","64,000,000","94,000,000",0,"26,700,000"
"58","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","강원청기본경비","8,602,000,000","8,629,600,000","555,262,690","3,882,733,880"
"59","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","강원청기본경비(총액인건비)","3,305,000,000","3,305,000,000","121,508,660","1,390,616,290"
"60","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경기남부청기본경비","22,483,000,000","22,062,520,000","1,417,084,860","11,198,032,250"
"61","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경기남부청기본경비(총액인건비)","8,918,000,000","8,918,000,000","233,362,660","3,712,418,190"
"62","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경기북부청기본경비","8,912,000,000","8,937,440,000","-944,844,020","4,911,505,250"
"63","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경기북부청기본경비(총액인건비)","3,545,000,000","3,545,000,000","-190,492,360","1,576,639,110"
"64","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경남청기본경비","12,580,000,000","12,621,460,000","486,980,290","5,787,844,280"
"65","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경남청기본경비(총액인건비)","4,945,000,000","4,945,000,000","110,702,590","1,840,666,030"
"66","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경무인사기획관기본경비","7,847,000,000","7,847,000,000","268,535,560","3,758,162,200"
"67","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경무인사기획관기본경비(총액인건비)","98,799,000,000","98,801,200,000","8,057,582,110","51,135,195,640"
"68","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경북청기본경비","13,794,000,000","13,850,640,000","-329,328,540","6,257,238,250"
"69","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경북청기본경비(총액인건비)","4,827,000,000","4,827,000,000","-105,512,030","2,559,778,290"
"70","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경비국기본경비","597,000,000","597,000,000","11,765,000","245,462,560"
"71","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","경비국기본경비(총액인건비)","819,000,000","819,000,000","26,466,520","450,984,830"
"72","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","공공안녕정보국기본경비","99,000,000","99,000,000",0,"43,047,000"
"73","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","공공안녕정보국기본경비(총액인건비)","42,000,000","42,000,000",0,"21,001,000"
"74","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","과학수사관리관기본경비","130,000,000","130,000,000","7,392,000","61,094,000"
"75","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","과학수사관리관기본경비(총액인건비)","93,000,000","93,000,000",0,"31,500,000"
"76","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","광주청기본경비","5,001,000,000","5,011,020,000","278,441,000","2,351,999,180"
"77","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","광주청기본경비(총액인건비)","1,675,000,000","1,675,000,000","15,912,720","741,971,440"
"78","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","교통국기본경비","2,080,000,000","2,080,000,000","96,788,340","730,506,760"
"79","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","교통국기본경비(총액인건비)","29,000,000","29,000,000",0,"29,000,000"
"80","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","기획조정관기본경비","2,283,000,000","2,210,796,000","47,449,860","1,297,649,100"
"81","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","기획조정관기본경비(총액인건비)","337,000,000","295,648,000",0,"131,172,000"
"82","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","대구청기본경비","7,362,000,000","7,374,420,000","-74,726,890","4,198,680,810"
"83","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","대구청기본경비(총액인건비)","2,909,000,000","2,909,000,000","-15,895,400","1,665,127,340"
"84","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","대변인기본경비","288,000,000","288,000,000",0,"100,001,000"
"85","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","대변인기본경비(총액인건비)","48,000,000","33,000,000",0,"16,672,000"
"86","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","대전청기본경비","4,844,000,000","4,851,080,000","-513,335,630","2,393,060,470"
"87","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","대전청기본경비(총액인건비)","1,714,000,000","1,714,000,000","-91,203,000","680,043,120"
"88","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","부산청기본경비","11,758,000,000","11,780,140,000","811,234,530","5,533,914,490"
"89","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","부산청기본경비(총액인건비)","4,655,000,000","4,655,000,000","98,938,300","2,427,671,500"
"90","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","사이버수사국기본경비","77,000,000","77,000,000","5,846,500","42,477,500"
"91","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","사이버수사국기본경비(총액인건비)","68,000,000","68,000,000",0,"38,244,000"
"92","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","생활안전국기본경비","457,000,000","497,519,000","40,548,890","184,066,530"
"93","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","생활안전국기본경비(총액인건비)","77,000,000","90,391,000",0,"37,160,000"
"94","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","서울청기본경비","34,128,000,000","34,182,112,000","2,306,668,100","15,931,785,440"
"95","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","서울청기본경비(총액인건비)","12,290,000,000","12,290,000,000","495,210,280","4,733,665,240"
"96","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","세종청기본경비","1,142,000,000","1,144,400,000","97,181,180","507,411,040"
"97","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","세종청기본경비(총액인건비)","465,000,000","465,000,000","24,959,000","195,934,630"
"98","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","수사국기본경비","154,000,000","154,000,000","2,710","58,019,100"
"99","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","수사국기본경비(총액인건비)","59,000,000","59,000,000",0,"22,000,000"
"100","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","수사기획조정관기본경비","162,000,000","162,000,000","20,000,000","89,367,000"
"101","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","수사기획조정관기본경비(총액인건비)","175,000,000","160,000,000",0,"135,034,000"
"102","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","안보수사국기본경비","58,000,000","58,000,000","552,820","31,342,670"
"103","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","안보수사국기본경비(총액인건비)","34,000,000","34,000,000",0,"17,990,000"
"104","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","외사국기본경비","155,000,000","155,000,000",0,"81,328,000"
"105","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","외사국기본경비(총액인건비)","43,000,000","43,000,000",0,"14,000,000"
"106","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","울산청기본경비","3,990,000,000","3,996,840,000","239,964,240","1,818,892,440"
"107","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","울산청기본경비(총액인건비)","1,520,000,000","1,520,000,000","41,567,700","531,209,470"
"108","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","인천청기본경비","7,443,000,000","7,460,940,000","361,152,260","3,544,571,890"
"109","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","인천청기본경비(총액인건비)","3,393,000,000","3,393,000,000","94,447,010","1,243,167,510"
"110","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","전남청기본경비","13,332,000,000","13,382,280,000","446,317,860","5,663,346,990"
"111","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","전남청기본경비(총액인건비)","4,159,000,000","4,159,000,000","8,063,980","2,129,264,500"
"112","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","전북청기본경비","10,264,000,000","10,303,840,000","239,974,400","4,728,445,350"
"113","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","전북청기본경비(총액인건비)","3,280,000,000","3,280,000,000","-53,052,550","1,566,192,710"
"114","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","정보화장비정책관기본경비","161,000,000","192,685,000",0,"85,652,140"
"115","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","정보화장비정책관기본경비(총액인건비)","98,000,000","123,761,000",0,"49,000,000"
"116","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","제주청기본경비","3,247,000,000","3,252,880,000","38,041,690","1,386,710,310"
"117","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","제주청기본경비(총액인건비)","1,137,000,000","1,137,000,000","-6,614,000","502,390,220"
"118","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","충남청기본경비","10,372,000,000","10,401,280,000","292,039,850","4,534,871,260"
"119","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","충남청기본경비(총액인건비)","3,161,000,000","3,161,000,000","92,687,670","1,288,810,990"
"120","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","충북청기본경비","6,955,000,000","6,968,200,000","511,144,870","3,091,326,920"
"121","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","충북청기본경비(총액인건비)","2,572,000,000","2,572,000,000","64,415,000","1,001,596,480"
"122","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","치안상황관리관기본경비","111,000,000","111,000,000","81,000","75,844,000"
"123","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","치안상황관리관기본경비(총액인건비)","36,000,000","36,000,000",0,"18,000,000"
"124","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","형사국기본경비","99,000,000","99,000,000",0,"47,129,560"
"125","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부기본경비","형사국기본경비(총액인건비)","29,000,000","29,000,000",0,"14,500,000"
"126","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부인건비","경찰청인건비","618,418,000,000","618,418,000,000","20,651,651,980","505,175,829,760"
"127","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부인건비","방위비인건비","3,093,000,000","3,093,000,000","345,997,800","2,503,943,240"
"128","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","본부인건비","시도경찰청인건비","8,863,157,000,000","8,863,154,908,000","558,458,559,800","2,941,113,278,440"
"129","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰대학기본경비","2,131,000,000","2,131,000,000","179,774,440","1,060,360,400"
"130","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰대학기본경비(총액인건비)","408,000,000","408,000,000","26,666,400","155,058,520"
"131","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰인재개발원기본경비","1,939,000,000","1,939,000,000","174,542,550","480,775,520"
"132","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰인재개발원기본경비(총액인건비)","241,000,000","234,700,000","3,020,000","41,092,000"
"133","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","수사연수원기본경비","459,000,000","459,000,000","42,526,280","190,942,510"
"134","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","수사연수원기본경비(총액인건비)","113,000,000","119,300,000","6,415,000","37,630,210"
"135","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","중앙학교기본경비","3,388,000,000","3,388,000,000","224,258,660","1,497,168,260"
"136","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","중앙학교기본경비(총액인건비)","455,000,000","455,000,000","29,500,000","104,216,510"
"137","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관인건비","경찰대학인건비","24,892,000,000","24,892,000,000","1,865,175,870","8,746,565,660"
"138","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관인건비","경찰인재개발원인건비","10,547,000,000","10,547,000,000","750,681,020","3,620,415,570"
"139","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관인건비","수사연수원인건비","4,233,000,000","4,233,000,000","335,519,170","1,625,845,160"
"140","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","소속기관인건비","중앙학교인건비","48,452,000,000","48,452,000,000","4,036,388,080","18,579,772,230"
"141","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","경무인사지원","16,020,000,000","17,292,923,000","626,771,270","2,156,060,870"
"142","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","청사시설관리","91,211,000,000","91,548,979,180","2,950,716,210","4,400,966,780"
"143","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","치안지원인력운영","162,437,000,000","162,437,000,000","9,377,070,630","47,839,486,090"
"144","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","치안활동지원","483,516,000,000","482,897,123,000","27,410,812,220","164,583,948,090"
"145","2023","202304","경찰청","일반회계","공공질서및안전","경찰","경찰행정지원","행정효율성증진및능력개발","행정효율성증진및능력개발","3,373,000,000","3,373,000,000","56,981,350","736,642,130"
"146","2023","202304","경찰청","일반회계","공공질서및안전","경찰","공공안녕위험예방및대응강화","공공안녕정보활동","공공안녕정보활동","30,187,000,000","30,187,000,000","1,105,811,300","19,524,748,390"
"147","2023","202304","경찰청","일반회계","공공질서및안전","경찰","공공안녕위험예방및대응강화","공공안녕정보활동","정보업무전산화(정보화)","4,432,000,000","4,432,000,000",0,"84,295,750"
"148","2023","202304","경찰청","일반회계","공공질서및안전","경찰","과학치안활성화","정책연구개발(R&D)","경찰건강 스마트관리(R&D)","6,382,000,000","6,382,000,000",0,"6,382,000,000"
"149","2023","202304","경찰청","일반회계","공공질서및안전","경찰","과학치안활성화","정책연구개발(R&D)","경찰장비 개선(R&D)","2,440,000,000","2,440,000,000",0,"2,440,000,000"
"150","2023","202304","경찰청","일반회계","공공질서및안전","경찰","과학치안활성화","정책연구개발(R&D)","과학적 범죄수사 고도화 기술 개발(R&D)경찰청","8,081,000,000","8,081,000,000","600,000","7,979,600,000"
"151","2023","202304","경찰청","일반회계","공공질서및안전","경찰","과학치안활성화","정책연구개발(R&D)","과학치안 공공연구성과 실용화 촉진 시범사업(R&D)","3,764,000,000","3,764,000,000","-320,000,000","3,194,000,000"
"152","2023","202304","경찰청","일반회계","공공질서및안전","경찰","과학치안활성화","정책연구개발(R&D)","국민위해인자에대응한기체분자식별분석기술개발(R&D)(경찰청)","1,096,000,000","1,096,000,000",0,"1,096,000,000"
"153","2023","202304","경찰청","일반회계","공공질서및안전","경찰","과학치안활성화","정책연구개발(R&D)","미래치안 도전기술 개발(R&D)","1,500,000,000","1,500,000,000",0,"1,500,000,000"
