No.,회계연도,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,정부안금액(천원),국회확정금액(천원)
"1","2023","감사원","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","30,000","30,000"
"2","2023","감사원","일반회계","","수입대체경비수입","잡수입","기타잡수입","일반수입","489,000","489,000"
"3","2023","감사원","일반회계","","재산수입","관유물대여료","건물대여료","일반수입","15,000","15,000"
"4","2023","감사원","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","1,000","1,000"
"5","2023","감사원","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","104,000","104,000"
"6","2023","개인정보보호위원회","일반회계","","경상이전수입","가산금","가산금","일반수입","3,000","3,000"
"7","2023","개인정보보호위원회","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","1,265,000","1,265,000"
"8","2023","개인정보보호위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","2,204,000","2,204,000"
"9","2023","개인정보보호위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","1,436,000","754,000"
"10","2023","개인정보보호위원회","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","1,000","1,000"
"11","2023","개인정보보호위원회","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","15,000","15,000"
"12","2023","개인정보보호위원회","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","1,000","1,000"
"13","2023","개인정보보호위원회","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","1,000","1,000"
"14","2023","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","40,000","40,000"
"15","2023","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","일반수입","6,000","6,000"
"16","2023","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","25,000","25,000"
"17","2023","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","32,799,000","32,799,000"
"18","2023","경찰청","경찰병원","손익계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","13,985,000","13,985,000"
"19","2023","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","일반수입","48,000","48,000"
"20","2023","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,000","1,000"
"21","2023","경찰청","경찰병원","손익계정","재화및용역판매수입","병원수입","병원수입","일반수입","6,300,000","6,300,000"
"22","2023","경찰청","경찰병원","손익계정","재화및용역판매수입","잡수입","기타잡수입","일반수입","40,000","40,000"
"23","2023","경찰청","경찰병원","손익계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","26,958,000","27,076,000"
"24","2023","경찰청","경찰병원","자본계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","49,000","49,000"
"25","2023","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","감가상각비전입금","내부거래수입(회계내 계정간 거래)","1,000","1,000"
"26","2023","경찰청","경찰병원","자본계정","정부내부수입및기타","기타","당기순이익전입금","내부거래수입(회계내 계정간 거래)","1,000","1,000"
"27","2023","경찰청","경찰병원","자본계정","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(회계간거래)","2,959,000","2,959,000"
"28","2023","경찰청","일반회계","","경상이전수입","가산금","가산금","일반수입","36,110,000","36,110,000"
"29","2023","경찰청","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","10,966,000","10,966,000"
"30","2023","경찰청","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","969,554,000","969,554,000"
"31","2023","경찰청","일반회계","","경상이전수입","벌금,몰수금및과태료","벌금및과료","일반수입","92,312,000","92,312,000"
"32","2023","경찰청","일반회계","","경상이전수입","벌금,몰수금및과태료","징계부과금","일반수입","23,000","23,000"
"33","2023","경찰청","일반회계","","경상이전수입","변상금및위약금","변상금","일반수입","118,000","118,000"
"34","2023","경찰청","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","1,738,000","1,738,000"
"35","2023","경찰청","일반회계","","관유물매각대","고정자산매각대","기계기구매각대","일반수입","5,094,000","5,094,000"
"36","2023","경찰청","일반회계","","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","469,000","469,000"
"37","2023","경찰청","일반회계","","관유물매각대","토지및무형자산매각대","토지매각대","일반수입","627,000","627,000"
"38","2023","경찰청","일반회계","","재산수입","관유물대여료","건물대여료","일반수입","1,717,000","1,717,000"
"39","2023","경찰청","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","1,421,000","1,421,000"
"40","2023","경찰청","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","716,000","716,000"
"41","2023","경찰청","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","881,000","881,000"
"42","2023","경찰청","일반회계","","재화및용역판매수입","입학금및수업료","수업료","일반수입","430,000","430,000"
"43","2023","경찰청","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","3,151,000","3,151,000"
"44","2023","고용노동부","고용보험기금","","경상이전수입","가산금","가산금","일반수입","3,268,000","3,268,000"
"45","2023","고용노동부","고용보험기금","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","221,184,000","221,184,000"
"46","2023","고용노동부","고용보험기금","","사회보장기여금","사회보장기여금","고용주부담금","일반수입","10,346,737,000","10,346,737,000"
"47","2023","고용노동부","고용보험기금","","사회보장기여금","사회보장기여금","피고용자분담금","일반수입","6,696,372,000","6,696,372,000"
"48","2023","고용노동부","고용보험기금","","융자및전대차관원금회수","융자원금회수","기타민간융자원금회수","일반수입","104,294,000","104,294,000"
"49","2023","고용노동부","고용보험기금","","재산수입","관유물대여료","건물대여료","일반수입","147,000","147,000"
"50","2023","고용노동부","고용보험기금","","재산수입","기타이자수입및재산수입","기타민간이자수입","일반수입","839,000","839,000"
"51","2023","고용노동부","고용보험기금","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","11,177,000","11,177,000"
"52","2023","고용노동부","고용보험기금","","재산수입","기타이자수입및재산수입","기타재산이자외수입","일반수입","299,087,000","299,087,000"
"53","2023","고용노동부","고용보험기금","","재화및용역판매수입","잡수입","기타영업외잡수익","일반수입","30,000","30,000"
"54","2023","고용노동부","고용보험기금","","재화및용역판매수입","잡수입","기타잡수입","일반수입","60,000","60,000"
"55","2023","고용노동부","고용보험기금","","정부내부수입및기타","전입금","일반회계전입금","내부거래수입(예산=>기금간거래)","300,000,000","300,000,000"
"56","2023","고용노동부","고용보험기금","","차입금및여유자금회수","정부예금회수","비통화금융기관예치금회수","보전수입","3,596,796,000","3,596,796,000"
"57","2023","고용노동부","고용보험기금","","차입금및여유자금회수","정부예금회수","한국은행예치금회수","보전수입","100,000,000","100,000,000"
